Condo,Size,Rooms,Toilets,Suites,Parking,Elevator,Furnished,Swimming Pool,District,Price
220,47,2,2,1,1,0,0,0,Artur Alvim,930
148,45,2,2,1,1,0,0,0,Artur Alvim,1000
100,48,2,2,1,1,0,0,0,Artur Alvim,1000
200,48,2,2,1,1,0,0,0,Artur Alvim,1000
410,55,2,2,1,1,1,0,0,Artur Alvim,1300
0,50,2,2,1,1,0,0,0,Artur Alvim,1170
180,52,1,2,1,1,1,0,0,Artur Alvim,1000
150,40,2,2,1,1,0,0,0,Artur Alvim,900
0,65,2,2,1,1,0,0,0,Artur Alvim,1000
0,100,2,2,1,1,0,0,0,Artur Alvim,1000
160,38,2,2,1,1,0,0,0,Artur Alvim,760
150,48,2,2,1,1,0,0,0,Artur Alvim,800
130,56,2,2,1,1,0,0,0,Artur Alvim,900
200,56,2,2,1,1,0,0,0,Artur Alvim,1000
418,54,2,2,1,1,1,0,1,Belem,1800
416,45,2,2,1,1,0,0,0,Belem,1600
337,55,2,2,1,1,1,0,0,Belem,1500
306,43,2,2,1,1,1,0,0,Belem,1600
150,80,2,2,1,1,1,0,0,Belem,1600
420,46,2,2,1,1,0,0,0,Belem,1600
800,67,3,2,1,1,1,1,0,Belem,1900
720,68,3,2,1,1,0,0,1,Belem,2500
743,63,2,2,1,1,0,0,1,Belem,1400
530,59,3,2,1,1,0,0,0,Belem,1800
2893,230,3,2,1,2,0,0,0,Belem,1500
857,113,3,2,1,2,1,0,0,Belem,2300
530,68,2,2,1,1,0,0,1,Belem,2250
445,65,2,2,1,1,0,0,1,Belem,1700
290,55,2,2,1,1,1,0,1,Belem,1726
450,50,1,2,1,1,1,0,1,Belem,1700
300,48,2,2,1,1,1,0,0,Belem,1600
140,36,1,2,1,1,0,0,0,Belem,810
811,107,3,3,1,2,1,0,1,Belem,3000
760,60,3,2,1,1,0,0,0,Belem,1750
857,113,3,2,1,2,1,0,0,Belem,2500
1450,155,3,4,3,3,1,1,0,Belem,3800
300,66,2,2,1,1,1,0,0,Belem,1600
692,57,2,2,1,1,0,0,0,Belem,990
500,57,2,2,1,2,0,0,1,Belem,1850
377,55,2,2,1,1,1,1,0,Belem,1950
400,85,2,2,1,1,0,0,0,Belem,1099
907,114,4,3,2,2,0,0,1,Belem,2300
275,80,3,2,1,1,0,0,0,Belem,1500
289,44,2,2,1,1,1,0,0,Belem,1300
374,55,2,2,1,1,1,1,0,Belem,1900
500,51,2,2,1,1,1,0,0,Belem,1350
857,115,3,2,1,2,1,0,1,Belem,2500
750,73,3,2,1,1,1,0,0,Belem,2500
0,48,2,2,1,1,0,0,0,Cangaiba,1200
0,65,2,2,1,1,1,0,0,Cangaiba,1450
590,64,3,2,1,1,1,0,0,Cangaiba,1100
560,58,2,2,1,1,0,0,1,Cangaiba,870
310,57,2,2,1,1,0,0,0,Cangaiba,1300
380,58,2,2,1,1,0,0,0,Cangaiba,1000
546,96,3,2,1,1,0,0,0,Cangaiba,1100
250,48,2,2,1,1,0,0,0,Cangaiba,1100
0,40,1,2,1,1,0,0,0,Cangaiba,800
400,62,2,2,1,1,1,0,0,Cangaiba,1200
250,53,2,2,1,1,0,0,0,Cangaiba,900
0,52,2,2,1,1,0,0,0,Cangaiba,1150
400,55,2,2,1,1,1,0,0,Cangaiba,1250
580,60,2,2,1,1,1,0,1,Cangaiba,1100
570,67,2,2,1,1,1,0,1,Cangaiba,1200
